Depth[m],Vs[m/sec],Vp[m/sec]
-0,143.474,504.02
-1,143.474,504.02
-2,163.964,535.35
-3,169.132,593.16
-4,174.515,625.85
-5,185.059,654.57
-6,199.661,682.48
-7,205.04,709.46
-8,207.33,739.75
-9,208.5,767.29
-10,209.2,801.52
-11,209.85,842.26
-12,210.46,894.95
-13,211.01,957.18
-14,211.64,1042.63
-15,211.99,1136.86
-16,212.56,1221.77
-17,213.07,1325.04
-18,213.64,1449.13
-19,214.27,1638.46
-20,214.8,1822.83
-21,215.67,1929.54
-22,216.51,2031.44
-23,217.6,2127.9
-24,218.77,2207.7
-25,220.47,2300.18
-26,222.83,2381.34
-27,225.43,2461.5
-28,231.08,2605
-29,240.72,2839.4
-30,257.69,2951.5
-40,316.89,3131.8
