Depth[m],Vs[m/sec],Vp[m/sec]
-0,177.44566,355.9552
-1,177.44566,355.9552
-2,207.7252,424.3722
-3,228.4396,614.0492
-4,280.698,671.042
-5,335.3742,718.2444
-6,361.9818,775.4568
-7,385.3844,860.4124
-8,401.19,1012.7544
-9,414.9354,1162.3882
-10,430.8458,1253.3808
-11,448.6682,1376.1592
-12,461.6308,1474.8582
-13,475.197,1598.3828
-14,490.5088,1742.6068
-15,501.6986,1962.7568
-16,512.2438,2209.0752
-17,524.2874,2460.062
-18,536.9134,2684.02
-19,550.7344,3154.14
-20,564.9744,3345.76
-21,578.4574,3471.256
-22,595.3202,3558.93
-23,608.4898,3679.838
-24,624.0268,3779.814
-25,643.394,3872.406
-26,656.3386,3977.852
-27,675.5694,4100.692
-28,694.3894,4225.19
-29,719.1764,4386.012
-30,744.0414,4584.216
-35,782.7036,4760.822
-45,849.4112,5127.034
