Depth[m],Vs[m/sec],Vp[m/sec]
-0,182.79828,605.9164
-1,182.79828,605.9164
-2,252.0288,650.591
-3,304.8008,691.095
-4,340.5268,723.5238
-5,366.8212,750.117
-6,396.295,786.617
-7,435.6128,825.3496
-8,471.6218,870.234
-9,506.7784,913.9152
-10,551.1142,959.6116
-11,579.633,996.5388
-12,608.6888,1047.1284
-13,632.0294,1086.8448
-14,653.867,1134.108
-15,681.5308,1183.537
-16,703.8106,1229.874
-17,723.944,1298.6814
-18,744.3212,1354.388
-19,762.181,1421.6824
-20,781.5888,1485.6896
-21,799.1862,1565.5958
-22,816.251,1630.7468
-23,836.337,1711.1008
-24,856.7746,1785.8688
-25,879.2934,1854.315
-26,908.3,1943.7208
-27,935.4996,2024.9738
-28,972.3668,2141.2456
-29,1026.3824,2284.1632
-30,1110.068,2858.446
-35,1203.9472,3100.04
-40,1314.6418,3367.452
-45,1447.7398,4047.09
-55,1629.2832,4709.008
