Depth[m],Vs[m/sec],Vp[m/sec]
-0,145.6934,371.4172
-1,145.6934,371.4172
-2,213.4914,410.755
-3,227.4336,502.8098
-4,260.093,542.3386
-5,292.9436,573.1902
-6,324.1278,618.7934
-7,340.2438,664.6618
-8,352.2198,720.0666
-9,361.9466,793.725400000001
-10,367.92,866.455
-11,373.9346,945.5472
-12,378.8316,1004.2134
-13,383.7168,1051.2484
-14,389.052,1093.4652
-15,393.2578,1134.7056
-16,397.8436,1178.7042
-17,401.5412,1214.6186
-18,407.0096,1274.4176
-19,412.3666,1357.407
-20,415.8296,1477.6706
-21,420.1914,1598.3884
-22,424.9686,1710.624
-23,429.608,1876.2766
-24,432.0462,2012.422
-25,436.1784,2096.1486
-26,440.81,2181.7354
-27,443.9376,2253.74
-28,447.8098,2327.37
-29,451.1646,2406.158
-30,456.469,2488.298
-35,462.1768,2560.4
-40,468.2888,2634.424
-45,475.258,2710.362
-50,482.7594,2837.922
-55,493.0834,2995.538
-60,506.8692,3213.88
-65,523.5362,3746.21
-70,543.9536,4785.108
-80,578.6764,5168.068
