Depth[m],Vs[m/sec],Vp[m/sec]
-0,164.46376,594.9524
-1,164.46376,594.9524
-2,331.594,789.1222
-3,406.0226,961.7854
-4,418.1756,1019.9932
-5,425.782,1090.143
-6,430.0662,1150.6964
-7,433.6376,1205.1928
-8,435.8118,1266.2826
-9,438.1368,1315.9726
-10,440.6308,1372.0094
-11,442.229,1426.7364
-12,444.121,1501.0444
-13,446.6358,1553.729
-14,448.945,1621.7384
-15,450.4972,1731.8612
-16,453.59,1818.978
-17,455.711,1920.6986
-18,456.9018,1985.4178
-19,459.2812,2061.2374
-20,462.6696,2132.5018
-21,464.2838,2203.516
-22,466.2166,2272.996
-23,469.0344,2325.294
-24,472.3716,2397.38
-25,475.9274,2498.302
-26,480.0144,2600.052
-27,484.4692,2794.58
-28,490.0486,2942.844
-29,498.1966,3105.412
-30,509.3896,3441.906
-40,526.0482,3819.328
