Depth[m],Vs[m/sec],Vp[m/sec]
-0,238.2244,623.5806
-1,238.2244,623.5806
-2,250.8168,656.0382
-3,335.4802,684.44
-4,388.0334,719.8684
-5,394.8424,742.7026
-6,398.3144,767.0766
-7,401.0782,795.011
-8,402.5864,836.1376
-9,404.5752,901.8548
-10,405.938,997.3038
-11,407.1166,1378.046
-12,408.381,1511.336
-13,409.8912,1637.0758
-14,410.9618,1727.4432
-15,412.257,1819.9872
-16,414.0494,1923.4862
-17,415.5466,2014.7308
-18,417.6112,2102.8128
-19,418.9084,2227.68
-20,421.2902,2407.104
-21,423.0956,2528.646
-22,426.6088,2639.95
-23,429.9214,2762.56
-24,432.7442,2870.648
-25,435.6058,2951.446
-26,438.5552,3024.606
-27,442.5994,3108.396
-28,448.279,3233.586
-29,455.7176,3342.738
-30,465.5856,3488.584
-35,480.255,3737.134
-40,508.7498,4026.766
-50,595.3184,4287.942
