Depth[m],Vs[m/sec],Vp[m/sec]
-0,459.2756,907.597
-1,459.2756,907.597
-2,480.612,965.2946
-3,580.0694,1018.844
-4,614.7082,1056.811
-5,631.2998,1094.6328
-6,640.6574,1130.2816
-7,651.245,1170.521
-8,659.993,1213.0686
-9,666.8326,1253.2184
-10,674.287,1303.266
-11,682.788,1376.0204
-12,691.386,1425.3456
-13,701.9266,1485.8654
-14,709.427,1579.9328
-15,719.2624,1643.4438
-16,726.793,1714.059
-17,735.9062,1807.091
-18,745.2488,1899.46
-19,754.6442,2045.073
-20,765.3306,2184.875
-21,778.2644,2338.3358
-22,790.3562,2482.53
-23,805.8614,2628.764
-24,820.6542,2782.282
-25,838.1954,2979.986
-26,856.1606,3188.262
-27,878.6392,3314.722
-28,898.4026,3554.608
-29,925.037,3880.606
-30,957.5908,4141.172
-40,1008.4624,4499.13
