Depth[m],Vs[m/sec],Vp[m/sec]
-0,210.18,378.18
-1,210.18,378.18
-2,228.48,384.04
-3,229.69,392.58
-4,230.27,455.86
-5,230.68,474.01
-6,231.26,494.85
-7,232.09,518.76
-8,233.24,547.24
-9,235.58,580.56
-10,239.24,652.2
-11,251.12,684.83
-12,288.21,709.6
-13,303.32,733.66
-14,310.44,759.56
-15,317.11,780.18
-16,321.66,809.92
-17,324.74,831.84
-18,327.72,854.35
-19,330.43,881.26
-20,333.32,905.97
-21,336.95,932.54
-22,340.33,963.74
-23,344.09,1002.09
-24,348.03,1044.54
-25,353.9,1094.37
-26,359.57,1173.26
-27,366.15,1249.57
-28,376.29,1300.92
-29,392.7,1344.64
-30,412.23,1393.76
-35,440.54,1446.39
-40,545.89,1493.5
-45,583.77,1551.18
-50,608.96,1922.9
-55,630.73,1989.99
-60,644.87,2067.1
-65,658.62,2165.28
-70,671.89,2305
-75,685.2,2392.6
-80,701.08,2514.1
-85,721.95,2803.3
-90,754.3,3228.9
-95,789.9,3383
-105,833.68,5355.2
