Depth[m],Vs[m/sec],Vp[m/sec]
-0,285.3992,522.0084
-1,285.3992,522.0084
-2,325.402,562.4712
-3,347.7902,599.9884
-4,361.4914,623.78
-5,373.84,656.072
-6,386.5952,689.3818
-7,400.8802,722.9792
-8,415.059,754.5418
-9,434.2256,790.922400000001
-10,452.3828,820.9486
-11,475.9542,865.5702
-12,500.942,913.5576
-13,520.672,956.659599999999
-14,543.3118,1005.6808
-15,567.9992,1073.6222
-16,590.0894,1151.5536
-17,610.957,1231.7526
-18,630.9302,1297.7962
-19,649.510200000001,1391.6076
-20,666.0138,1510.5738
-21,687.361,1606.037
-22,701.896,1772.243
-23,721.9632,1954.7928
-24,740.95,2229.2446
-25,761.5386,2485.39
-26,777.324,2678.608
-27,797.9792,2829.072
-28,816.6044,2954.658
-29,842.9196,3091.394
-30,865.809599999999,3213.752
-35,897.6526,3414.216
-40,948.2228,3811.644
-50,1012.2122,4260.376
