Depth[m],Vs[m/sec],Vp[m/sec]
-0,212.6996,341.901
-1,212.6996,341.901
-2,755.3006,1727.7308
-3,760.48,2096.9328
-4,769.0698,2386.098
-5,1216.6058,2497.446
-6,1378.9376,2543.906
-7,1482.8486,2603.674
-8,1562.0284,2645.76
-9,1598.1964,2674.672
-10,1618.587,2707.64
-11,1631.0572,2745.032
-12,1644.2328,2773.168
-13,1657.0108,2813.058
-14,1669.5196,2861.4
-15,1684.683,2906.684
-16,1702.7906,2961.964
-17,1713.7338,3009.098
-18,1728.5878,3053.604
-19,1745.5714,3120.748
-20,1760.247,3189.588
-21,1776.216,3356.53
-22,1794.9308,3557.304
-23,1810.5342,3664.454
-24,1828.7606,3770.72
-25,1851.4912,3842.264
-26,1875.5402,3934
-27,1901.1084,4123.694
-28,1929.3586,4417.786
-29,1973.303,4723.212
-30,2009.4564,5025.36
-35,2059.514,7443.992
-45,2248.588,7858.776
