Depth[m],Vs[m/sec],Vp[m/sec]
-0,110.033,606.48
-1,110.033,606.48
-2,368.86,919.12
-3,372.06,994.17
-4,400.37,1021.81
-5,509.15,1035.55
-6,514.72,1048.95
-7,518.44,1060.69
-8,522.5,1076.75
-9,526.15,1092.86
-10,529.35,1109.47
-11,534.87,1128.22
-12,542.7,1157.18
-13,549.05,1187.69
-14,556.13,1224.75
-15,560.93,1257.79
-16,568.6,1312.63
-17,575.36,1360.27
-18,582,1411.58
-19,590.06,1488.24
-20,597.21,1686.76
-21,606.05,1910.98
-22,617.54,2051.5
-23,633.86,2254.3
-24,655.93,2400.4
-25,685.38,2563
-26,725.79,2731.5
-27,766.71,3037.4
-28,809.85,3183.7
-29,846.79,3308.9
-30,882.8,3477.3
-35,913.38,3671.2
-45,951.36,4763.1
