Depth[m],Vs[m/sec],Vp[m/sec]
-0,186.97334,413.9438
-1,186.97334,413.9438
-2,258.2224,524.684
-3,282.1538,630.2786
-4,294.0826,749.7308
-5,304.0938,798.9572
-6,313.5538,873.0664
-7,323.1658,974.3252
-8,331.4018,1136.9228
-9,336.724,1287.8344
-10,342.9732,1416.9958
-11,346.823,1503.6906
-12,351.075,1595.7964
-13,356.286,1667.661
-14,360.6078,1746.0982
-15,364.6446,1828.897
-16,368.5064,1926.5594
-17,373.4206,2095.509
-18,376.8312,2220.0462
-19,381.609,2397.474
-20,387.9598,2528.704
-21,394.024,2646.03
-22,398.8356,2746.346
-23,403.2752,2822.458
-24,412.342,2965.152
-25,419.1798,3131.69
-26,427.1646,3295.314
-27,436.394,3440.816
-28,450.0104,3588.872
-29,462.935,3710.5
-30,483.3734,3881.866
-40,516.1656,4151.636
