Depth[m],Vs[m/sec],Vp[m/sec]
-0,172.29196,289.1254
-1,172.29196,289.1254
-2,307.9596,588.3294
-3,328.6282,1020.6518
-4,399.0026,1229.9844
-5,515.198,1333.5314
-6,579.434,1405.7108
-7,650.7912,1483.1522
-8,734.6886,1545.5262
-9,789.5166,1598.3724
-10,847.2524,1651.6584
-11,898.7944,1709.0686
-12,949.7984,1763.095
-13,986.4752,1826.236
-14,1014.9214,1887.0058
-15,1044.0978,1955.4202
-16,1070.581,2035.3782
-17,1092.1468,2113.5742
-18,1114.274,2193.613
-19,1138.0206,2269.024
-20,1163.2402,2376.91
-21,1180.168,2494.636
-22,1199.0284,2602.942
-23,1221.3852,2713.126
-24,1241.3824,2823.44
-25,1264.3252,2938.038
-26,1284.391,3053.194
-27,1305.8548,3241.74
-28,1330.1838,3402.526
-29,1360.5234,3557.798
-30,1388.3288,3765.946
-35,1419.334,4001.364
-40,1467.6234,4430.672
-50,1542.7162,4799.842
