Depth[m],Vs[m/sec],Vp[m/sec]
-0,179.72,570.05
-1,179.72,570.05
-2,272.64,649.49
-3,274.15,685.37
-4,354.35,709.23
-5,406.12,729.55
-6,411.75,755.07
-7,418.04,792.99
-8,427.55,846.48
-9,444.58,892.62
-10,483.15,1102.64
-11,508.61,1158.38
-12,522.29,1189.94
-13,532.41,1220.84
-14,538.68,1249.69
-15,544.22,1281.91
-16,550.66,1314.41
-17,556.38,1344.51
-18,561.83,1381.74
-19,568.02,1423.32
-20,573.08,1489.28
-21,578.02,1558.6
-22,583.12,1637.94
-23,587.99,1729.38
-24,594.1,2119.76
-25,600.21,2220.06
-26,606.8,2292.94
-27,615.5,2362
-28,626.11,2431.5
-29,637.19,2564
-30,652.12,2676.4
-35,672.53,2769.6
-40,707.54,2868.3
-45,763.96,3014
-55,871.74,3201.2
