Depth[m],Vs[m/sec],Vp[m/sec]
-0,171.708,384.55
-1,171.708,384.55
-2,206.28,399.99
-3,207.49,498.22
-4,297.85,520.24
-5,314.19,539.53
-6,317.03,558.03
-7,318.66,589.92
-8,320.48,657.35
-9,322.5,749.23
-10,325.4,948.72
-11,330.09,1018.33
-12,341.95,1165.76
-13,392.09,1225.89
-14,424.04,1278.62
-15,439.05,1325.3
-16,446.4,1373.02
-17,451.14,1415.43
-18,456.27,1459.59
-19,460.5,1521.58
-20,464.17,1603.74
-21,467.6,1701.53
-22,471.16,1812.32
-23,474.96,1923.4
-24,478.72,2067.51
-25,482,2339.39
-26,487.6,2465.76
-27,492.89,2622.15
-28,498.1,2746.22
-29,503.62,2949.22
-30,510.79,3066.33
-35,519.77,3271.7
-40,540.77,3695.1
-50,651.51,3945.6
