Depth[m],Vs[m/sec],Vp[m/sec]
-0,76.08388,453.9814
-1,76.08388,453.9814
-2,109.52872,655.7866
-3,118.87964,1104.3864
-4,144.383,1217.1522
-5,169.86774,1292.923
-6,177.81098,1338.6332
-7,181.60212,1403.8598
-8,183.62104,1491.6004
-9,185.14204,1797.7422
-10,187.24456,1880.1
-11,189.27224,1980.6228
-12,190.61188,2055.698
-13,191.85364,2151.0722
-14,193.41046,2229.892
-15,195.3212,2304.292
-16,196.53394,2377.946
-17,198.00714,2444.336
-18,199.62142,2521.714
-19,201.22008,2633.774
-20,203.3583,2760.224
-21,206.84608,2835.486
-22,210.0175,2914.776
-23,213.95898,3006.478
-24,219.32402,3074.326
-25,225.54208,3140.754
-26,232.8502,3224.344
-27,244.7076,3300.976
-28,256.1756,3420.532
-29,271.988,3521.142
-30,295.025,3628.266
-40,344.5296,3866.488
