Depth[m],Vs[m/sec],Vp[m/sec]
-0,189.362,417.83
-1,189.362,417.83
-2,265.53,544.46
-3,368.84,687.56
-4,428.08,817.65
-5,483.91,910.67
-6,526.86,1002.45
-7,549.39,1061.21
-8,573.57,1113.54
-9,594.65,1166.27
-10,625.19,1218.8
-11,651.23,1286.56
-12,672.94,1368.99
-13,693.42,1444.87
-14,712.16,1505.72
-15,730.09,1599.46
-16,748.77,1690.73
-17,768.13,1786.23
-18,787.92,1866.72
-19,811.02,1964.5
-20,833.02,2058.05
-21,857.01,2155.12
-22,883.47,2233.19
-23,907.06,2341.41
-24,934.73,2432.48
-25,963.7,2528.46
-26,990.18,2623.18
-27,1018.34,2728.2
-28,1060.47,2897.1
-29,1134.59,3061.3
-30,1169.41,3235.2
-35,1204.93,3516.4
-45,1241.88,3848.2
