Depth[m],Vs[m/sec],Vp[m/sec]
-0,144.976,367.16
-1,144.976,367.16
-2,171.286,422.3
-3,180.932,685.59
-4,203.82,732.2
-5,207.56,778.49
-6,209.83,819.13
-7,212.1,868.86
-8,213.94,913.37
-9,216.75,969.84
-10,219.72,1032.39
-11,222.2,1179.56
-12,225.82,1258.16
-13,228.67,1404.44
-14,232.35,1481.83
-15,235.59,1554.3
-16,238.84,1627.02
-17,241.49,1718.79
-18,244.29,1824.54
-19,247.16,1898.58
-20,250.72,2006.56
-21,254.43,2075.47
-22,258.07,2214.9
-23,262.99,2514.87
-24,269.44,2616.47
-25,276.04,2736.1
-26,284.03,2851.3
-27,295.19,3003.62
-28,309.42,3109.77
-29,324.01,3224.21
-30,345.69,3363.6
-40,370.57,3682.7
