Depth[m],Vs[m/sec],Vp[m/sec]
-0,165.89262,360.164
-1,165.89262,360.164
-2,223.3256,473.3672
-3,262.2212,545.2578
-4,310.898,1096.787
-5,331.5554,1196.7592
-6,346.693,1270.5184
-7,359.0652,1340.718
-8,369.9326,1404.7634
-9,380.2348,1458.5834
-10,389.109,1505.479
-11,395.792,1567.8478
-12,402.7618,1635.9488
-13,408.286,1702.646
-14,415.5666,1794.3974
-15,422.0708,1880.0852
-16,428.6076,2003.1436
-17,435.974,2122.223
-18,440.7372,2270.24
-19,446.38,2458.288
-20,454.6134,2665.24
-21,463.9128,2811.624
-22,472.0814,2938.938
-23,479.8878,3031.364
-24,490.9038,3128.448
-25,499.2864,3239.164
-26,512.8032,3391.678
-27,522.9614,3573.862
-28,536.3402,3968.436
-29,550.5304,4327.062
-30,567.5708,4653.806
-35,587.3476,4985.18
-45,628.2036,5384.556
