Depth[m],Vs[m/sec],Vp[m/sec]
-0,230.47502,626.5668
-1,230.47502,626.5668
-2,344.1086,759.1684
-3,421.5064,951.6466
-4,509.323,1123.6982
-5,581.487,1261.1076
-6,644.253,1351.1612
-7,701.1076,1419.162
-8,745.1956,1488.3628
-9,775.1824,1557.3292
-10,798.217,1627.7638
-11,814.0558,1720.725
-12,829.8602,1806.064
-13,842.888999999999,1896.9454
-14,857.2552,1986.266
-15,867.153,2108.6282
-16,874.6686,2231.8182
-17,885.8974,2373.738
-18,895.51,2465.512
-19,907.6244,2565.162
-20,918.1588,2675.968
-21,930.5098,2781.752
-22,940.7928,2927.732
-23,950.3838,3030.396
-24,964.2452,3112.942
-25,975.0388,3234.914
-26,986.4104,3353.41
-27,1001.0112,3467.546
-28,1022.092,3624.884
-29,1048.0498,3822.272
-30,1070.6744,4173.162
-40,1112.2132,4799.914
