Depth[m],Vs[m/sec],Vp[m/sec]
-0,246.1364,740.1
-1,246.1364,740.1
-2,275.6922,794.8442
-3,282.1196,847.7756
-4,286.4672,941.5884
-5,290.6468,1187.8016
-6,295.1636,1503.8132
-7,299.0256,1649.8086
-8,304.6172,1760.6112
-9,313.3354,1828.2442
-10,321.8018,1895.6116
-11,331.638,1966.1216
-12,343.0248,2045.7846
-13,357.3604,2123.328
-14,367.187,2202.284
-15,380.8376,2272.642
-16,388.3312,2349.136
-17,398.6882,2442.624
-18,407.9802,2536.142
-19,417.5036,2607.242
-20,426.3852,2687.726
-21,433.7584,2768.208
-22,443.5306,2860.674
-23,454.3998,2971.734
-24,466.342,3073.738
-25,477.5788,3169.08
-26,489.3748,3295.346
-27,503.3374,3401.352
-28,520.5364,3546.284
-29,539.3236,3728.966
-30,569.9264,4089.802
-40,611.1992,4452.274
