Depth[m],Vs[m/sec],Vp[m/sec]
-0,303.17,651.8172
-1,303.17,651.8172
-2,328.3276,909.7696
-3,537.4036,1049.9794
-4,583.4468,1121.5084
-5,635.1024,1180.259
-6,661.293,1239.395
-7,675.8404,1324.4996
-8,689.128,1572.7916
-9,700.2538,1686.1238
-10,707.0998,1761.6772
-11,714.7778,1812.9938
-12,721.9376,1862.1934
-13,726.4516,1916.4016
-14,731.2252,1977.3288
-15,737.263,2016.9838
-16,745.508,2064.4788
-17,749.997,2118.2436
-18,757.4978,2183.2064
-19,763.773,2233.1712
-20,770.2482,2295.524
-21,776.9972,2354.09
-22,782.7772,2434.798
-23,788.7812,2510.424
-24,796.0428,2577.762
-25,803.33,2652.522
-26,813.8752,2786.348
-27,821.5732,3025.512
-28,832.137,3209.046
-29,848.7298,3424.554
-30,862.2464,3642.7
-35,884.2866,3924.79
-45,924.107,4202.722
