Depth[m],Vs[m/sec],Vp[m/sec]
-0,297.3214,849.4758
-1,297.3214,849.4758
-2,347.5402,899.68
-3,491.2216,927.1186
-4,546.0994,954.4076
-5,573.188,993.17
-6,593.7426,1024.3836
-7,606.7316,1060.9746
-8,618.723,1097.8498
-9,627.3252,1142.5674
-10,635.9218,1187.556
-11,645.1884,1260.8238
-12,654.0702,1327.1956
-13,662.1068,1390.1976
-14,670.4804,1490.7544
-15,676.1368,1611.117
-16,681.5786,1770.8394
-17,688.3322,1936.6774
-18,696.4984,2096.2848
-19,705.3506,2230.7306
-20,715.4866,2346.142
-21,728.9352,2435.796
-22,739.4436,2542.42
-23,753.5464,2652.682
-24,767.4904,2800.852
-25,781.7662,2943.416
-26,799.0608,3109.662
-27,818.9702,3225.81
-28,843.3784,3373.832
-29,874.4598,3553.926
-30,930.0032,3741.076
-40,1009.0884,4132.686
