Depth[m],Vs[m/sec],Vp[m/sec]
-0,291.8124,681.6334
-1,291.8124,681.6334
-2,330.085,757.6784
-3,371.5422,828.9026
-4,409.6764,913.9992
-5,447.5642,995.7532
-6,482.8792,1058.8178
-7,516.7536,1131.0534
-8,535.9252,1193.268
-9,552.11,1264.4476
-10,563.53,1328.1726
-11,575.4494,1390.7316
-12,586.3928,1477.0626
-13,594.2752,1541.3294
-14,599.0958,1611.1366
-15,606.2148,1666.3988
-16,612.8348,1729.9298
-17,619.3526,1810.6858
-18,624.5204,1893.8876
-19,629.881,1965.5818
-20,633.0146,2077.9514
-21,638.2356,2201.729
-22,644.013,2362.7332
-23,650.9854,2503.434
-24,657.833,2641.332
-25,665.3588,2754.582
-26,670.6068,2861.678
-27,680.259,2958.564
-28,688.8384,3113.394
-29,699.8298,3309.214
-30,715.8298,3672.458
-40,739.5182,4041.168
