Depth[m],Vs[m/sec],Vp[m/sec]
-0,309.7556,924.7588
-1,309.7556,924.7588
-2,442.9458,1157.6456
-3,658.335,1380.901
-4,698.2152,1517.8518
-5,753.7722,1590.6758
-6,834.9728,1647.0654
-7,917.653,1705.383
-8,1007.4158,1769.2474
-9,1046.7218,1810.6858
-10,1075.9862,1858.0118
-11,1104.416,1897.8858
-12,1124.4108,1943.8416
-13,1140.928,2001.8638
-14,1157.7802,2072.385
-15,1169.9554,2131.4466
-16,1184.874,2186.8268
-17,1198.1436,2262.5996
-18,1211.4382,2336.498
-19,1227.9738,2408.074
-20,1240.7504,2488.344
-21,1254.917,2558.738
-22,1271.357,2623.732
-23,1283.1238,2702.456
-24,1301.1782,2795.16
-25,1314.0042,2870.022
-26,1331.1732,2970.254
-27,1348.0904,3098.774
-28,1369.5062,3297.184
-29,1394.3374,3718.442
-30,1433.7784,4301.118
-40,1481.9304,4753.24
