Depth[m],Vs[m/sec],Vp[m/sec]
-0,195.91974,437.5048
-1,195.91974,437.5048
-2,245.0758,661.5556
-3,267.3366,731.4292
-4,278.405,798.417
-5,289.156,882.489
-6,298.5288,956.8864
-7,312.4604,1012.086
-8,337.8186,1075.2326
-9,361.6014,1126.8714
-10,381.7788,1177.435
-11,406.448,1233.7384
-12,423.5858,1306.5498
-13,436.8004,1380.4808
-14,451.2932,1453.3522
-15,467.6074,1588.3544
-16,483.7372,1768.9148
-17,498.1742,2087.0336
-18,517.341,2288.581
-19,544.1488,2438.73
-20,567.1852,2560.492
-21,595.0246,2650.382
-22,630.914,2762.03
-23,667.2398,2857.382
-24,710.1096,2960.938
-25,754.476,3068.004
-26,804.033999999999,3185.036
-27,841.3774,3336.626
-28,885.5062,3495.32
-29,940.2754,3623.996
-30,995.2462,3769.312
-35,1070.6908,3924.344
-40,1151.8406,4242.694
-50,1297.356,4649.604
