Depth[m],Vs[m/sec],Vp[m/sec]
-0,127.8633,395.7944
-1,127.8633,395.7944
-2,132.66478,429.8432
-3,322.0884,772.1408
-4,403.6932,815.6258
-5,444.4814,857.5612
-6,484.6132,880.4114
-7,507.893,907.232
-8,527.1122,932.9662
-9,544.5488,958.5046
-10,558.7998,987.0066
-11,573.7892,1016.813
-12,584.4732,1058.5574
-13,596.8038,1102.6032
-14,606.393,1173.782
-15,618.5572,1246.4492
-16,627.1918,1317.249
-17,639.9568,1389.333
-18,652.7042,1470.7142
-19,662.8446,1568.286
-20,674.1984,1675.3222
-21,687.1684,1787.9544
-22,698.1302,2212.4618
-23,714.0066,2526.736
-24,731.2566,2700.376
-25,744.4704,2821.564
-26,762.4176,2931.632
-27,781.5594,3072.44
-28,800.8152,3201.974
-29,821.297,3355.688
-30,856.1916,3472.624
-35,884.255,3647.276
-45,941.5528,3959.094
