Depth[m],Vs[m/sec],Vp[m/sec]
-0,147.05704,641.28
-1,147.05704,641.28
-2,279.1848,695.8586
-3,288.276,893.0012
-4,338.0202,1008.9244
-5,383.2274,1150.6294
-6,396.5746,1224.5546
-7,405.0922,1278.2338
-8,412.8738,1357.4206
-9,419.1838,1421.9276
-10,423.7394,1484.7438
-11,427.883,1543.0614
-12,433.1152,1624.092
-13,437.9206,1675.9232
-14,441.2822,1736.9596
-15,444.58,1800.5686
-16,447.3482,1879.2306
-17,451.6558,2000.27
-18,457.5982,2113.6282
-19,463.5272,2224.4018
-20,469.1166,2353.768
-21,474.9916,2438.316
-22,481.1886,2530.22
-23,487.8832,2655.378
-24,498.5622,2801.218
-25,505.5552,2933.556
-26,516.477,3042.83
-27,525.5622,3200.678
-28,540.0094,3377.86
-29,551.8734,3512.582
-30,569.1556,3631.2
-35,588.5056,3790.684
-40,616.8142,3959.34
-50,668.4056,4481.478
