Depth[m],Vs[m/sec],Vp[m/sec]
-0,147.83598,441.0822
-1,147.83598,441.0822
-2,205.38734,543.9302
-3,238.1546,690.0794
-4,266.0558,823.8714
-5,315.4484,1032.4504
-6,351.2962,1144.8534
-7,366.1056,1291.204
-8,373.485,1401.5814
-9,381.6546,1599.4594
-10,386.7378,2051.1274
-11,391.1084,2181.6238
-12,394.4546,2298.884
-13,398.1854,2487.946
-14,402.268,2610.402
-15,405.8046,2714.546
-16,409.5404,2804.216
-17,414.0106,2888.108
-18,418.8896,2993.578
-19,422.0684,3113.816
-20,427.7768,3242.478
-21,432.2548,3347.706
-22,438.3042,3458.62
-23,443.398,3535.294
-24,450.408,3629.084
-25,457.1776,3716.052
-26,464.4712,3813.514
-27,474.9702,3913.586
-28,485.018,4033.946
-29,497.5594,4147.246
-30,519.773,4283.288
-40,555.0008,4522.906
