Depth[m],Vs[m/sec],Vp[m/sec]
-0,155.24218,598.1352
-1,155.24218,598.1352
-2,208.06958,676.4878
-3,230.8414,733.6534
-4,263.449,793.1648
-5,310.0874,883.5166
-6,338.0488,974.0732
-7,352.3406,1199.3262
-8,362.9058,1348.1686
-9,372.507,1469.6202
-10,378.7856,1569.6686
-11,384.6994,1648.7606
-12,389.8902,1713.2232
-13,394.8272,1782.9832
-14,399.0898,1839.0374
-15,403.4518,1898.732
-16,406.831,1958.8228
-17,411.5442,2024.7616
-18,415.098,2099.7384
-19,418.5108,2173.0432
-20,422.4064,2257.1976
-21,426.3496,2324.506
-22,430.2552,2400.084
-23,435.5034,2467.2
-24,440.4994,2533.344
-25,445.9588,2592.458
-26,451.9028,2659.912
-27,458.4812,2730.984
-28,466.9448,2796.77
-29,477.3206,2860.69
-30,487.5556,2952.232
-35,498.6968,3064.708
-40,520.711,3188.568
-50,564.5118,3416.328
