Depth[m],Vs[m/sec],Vp[m/sec]
-0,210.5422,338.5812
-1,210.5422,338.5812
-2,298.0686,478.4282
-3,818.2258,1324.2904
-4,847.7848,1869.925
-5,853.461,2887.476
-6,861.478,2949.39
-7,869.3792,3017.142
-8,895.1282,3094.298
-9,967.963,3411.092
-10,1334.1132,3497.018
-11,1396.8258,3568.494
-12,1470.345,3603.186
-13,1735.8132,3654.156
-14,1792.2076,3827.288
-15,1909.755,3910.814
-16,2075.3224,4038.684
-17,2111.5192,4125.432
-18,2196.638,4189.566
-19,2245.872,4257.642
-20,2524.79,4343.836
-21,2662.914,4440.776
-22,2694.618,4524.15
-23,2717.416,4610.264
-24,2735.37,4684.95
-25,2756.034,4743.328
-26,2785.236,4854.306
-27,2827.026,4951.506
-28,2878.982,5222.218
-29,2917.246,5766.848
-30,2963.672,5973.834
-35,3009.024,6164.38
-40,3112.384,6412.434
-45,3195.688,6692.702
-55,3372.456,7282.084
