Depth[m],Vs[m/sec],Vp[m/sec]
-0,155.937,298.43
-1,155.937,298.43
-2,168.588,477.14
-3,178.252,504.15
-4,182.831,523.66
-5,186.007,552.77
-6,189.977,574.65
-7,196.458,600.72
-8,209.37,632.09
-9,235.33,667.52
-10,243.86,718.08
-11,249.03,799.93
-12,252.32,957.74
-13,254.22,1051.56
-14,256.2,1147.95
-15,257.67,1235.18
-16,259.31,1415.42
-17,260.95,1479.74
-18,262.34,1554.76
-19,264.12,1626.15
-20,266.26,1698.7
-21,269.15,1765.85
-22,271.19,1833.49
-23,274.66,1916.64
-24,278.54,2002.48
-25,283.9,2078.35
-26,291.77,2155.91
-27,306.14,2239.05
-28,324.92,2318.4
-29,365.53,2410.2
-30,412.25,2529.4
-35,465.14,3082.2
-45,508.43,3344.9
