Depth[m],Vs[m/sec],Vp[m/sec]
-0,153.88274,318.543
-1,153.88274,318.543
-2,211.20652,426.2288
-3,277.2124,533.4144
-4,295.2328,736.1284
-5,307.2396,788.796
-6,318.8544,838.5804
-7,329.6074,899.7134
-8,338.243,958.3018
-9,347.0518,1027.9232
-10,355.7562,1102.2792
-11,363.2832,1170.6026
-12,371.8394,1246.4152
-13,379.5846,1346.121
-14,388.302,1425.7904
-15,393.5582,1505.8712
-16,401.0124,1578.057
-17,407.6402,1650.753
-18,415.0618,1733.7216
-19,422.8146,1827.8878
-20,432.6222,1923.9344
-21,441.4224,2026.7806
-22,454.0856,2100.8636
-23,465.5172,2197.6448
-24,479.4106,2310.828
-25,491.6844,2422.254
-26,506.6998,2555.38
-27,520.1738,2684.886
-28,538.2628,2817.848
-29,556.3582,2990.336
-30,576.76,3166.378
-35,598.2454,3426.26
-40,632.0266,4583.184
-45,675.6772,4932.906
-55,743.3004,6406.166
