Depth[m],Vs[m/sec],Vp[m/sec]
-0,242.62,507.05
-1,242.62,507.05
-2,280.26,533.89
-3,323.73,547.74
-4,325.15,564.93
-5,326.05,594.64
-6,327.19,671.82
-7,329.73,918.25
-8,334.77,974.92
-9,344.98,1029.99
-10,363.19,1067.31
-11,370.44,1118.31
-12,373.15,1216.64
-13,375.37,1350.86
-14,376.91,1417.71
-15,378.34,1493.71
-16,379.68,1549.74
-17,380.69,1611.71
-18,381.77,1699.25
-19,383.21,1793.93
-20,384.14,1899.98
-21,385.59,1997.08
-22,387.08,2105.3
-23,388.83,2221.23
-24,391.25,2330.66
-25,393.55,2426.76
-26,397.07,2572.25
-27,401.05,3147.25
-28,406.38,3292.51
-29,415.67,3408.51
-30,433.16,3800.66
-40,468.54,4123.7
