Depth[m],Vs[m/sec],Vp[m/sec]
-0,171.31114,283.9434
-1,171.31114,283.9434
-2,174.64632,307.514
-3,343.9094,1602.8412
-4,364.7308,1679.0646
-5,650.9104,1863.2466
-6,679.7364,1918.1718
-7,696.5402,1986.4222
-8,703.6322,2023.2238
-9,713.2492,2081.9732
-10,718.88,2154.724
-11,723.5064,2227.608
-12,727.282,2293.502
-13,729.848,2448.882
-14,731.9614,2690.61
-15,734.2196,2839.206
-16,738.277,2961.784
-17,740.011,3086.1
-18,743.857,3181.512
-19,748.4002,3280.308
-20,752.119,3457.948
-21,755.5076,3617.908
-22,759.3742,3833.16
-23,763.839,3992.324
-24,768.799,4154.46
-25,772.82,4273.596
-26,778.0638,4364.494
-27,783.3448,4447.766
-28,790.3586,4531.906
-29,802.314,4646.82
-30,818.7292,4856.084
-40,840.832,5248.556
