Depth[m],Vs[m/sec],Vp[m/sec]
-0,159.65892,334.931
-1,159.65892,334.931
-2,219.37298,402.7778
-3,242.4108,602.2378
-4,254.2238,757.8906
-5,267.7686,850.6608
-6,278.4904,1106.893
-7,286.7568,1172.2378
-8,294.4378,1221.5002
-9,299.9446,1274.23
-10,306.274,1324.6914
-11,311.8444,1383.2592
-12,316.8162,1443.036
-13,321.1876,1498.4306
-14,326.3806,1550.1232
-15,330.62,1602.8314
-16,334.4838,1654.0636
-17,337.2886,1702.3396
-18,341.4736,1749.57
-19,345.4388,1793.758
-20,348.4216,1842.868
-21,351.4876,1900.5478
-22,354.8644,1945.5506
-23,358.658,1991.8582
-24,363.2628,2038.4672
-25,368.9304,2090.3608
-26,372.8166,2144.8214
-27,378.3388,2194.688
-28,383.2552,2256.004
-29,387.461,2312.306
-30,394.8302,2378.608
-35,402.0966,2437.602
-40,409.3246,2501.298
-45,418.4318,2595.818
-50,433.6894,2678.886
-55,458.932,2840.712
-65,509.9026,3143.252
