Depth[m],Vs[m/sec],Vp[m/sec]
-0,255.403,841.2968
-1,255.403,841.2968
-2,272.3048,1140.1868
-3,283.2046,1175.2816
-4,287.8396,1207.514
-5,290.1828,1234.2732
-6,292.497,1267.0872
-7,294.4568,1306.6604
-8,296.62,1361.5762
-9,298.0846,1422.235
-10,299.5388,1527.109
-11,301.6334,1751.3174
-12,303.5058,1848.8294
-13,305.0286,1917.8288
-14,306.9556,1969.2248
-15,308.1942,2044.3674
-16,310.147,2123.7738
-17,312.3878,2203.368
-18,314.1874,2282.716
-19,316.6848,2364.496
-20,319.323,2485.196
-21,321.579,2616.97
-22,324.334,2784.256
-23,328.172,2903.264
-24,331.8308,2987.542
-25,336.42,3073.362
-26,341.8014,3233.676
-27,348.9638,3537.304
-28,355.1616,3758.232
-29,365.0064,3988.904
-30,377.8114,4247.148
-35,395.6644,4447.66
-45,436.7226,4697.42
