Depth[m],Vs[m/sec],Vp[m/sec]
-0,144.30978,329.9834
-1,144.30978,329.9834
-2,183.64496,408.2726
-3,198.3602,471.0386
-4,212.61688,565.0954
-5,230.0428,674.5618
-6,249.3302,745.9106
-7,261.958,832.227599999999
-8,271.1824,937.194
-9,279.4412,1079.2464
-10,288.6804,1251.6354
-11,295.7432,1563.941
-12,301.3792,1676.0624
-13,309.4478,1799.4338
-14,314.8156,1908.8466
-15,319.8346,2017.0312
-16,328.2228,2170.5658
-17,335.693,2343.52
-18,341.5036,2458.368
-19,347.3888,2571.75
-20,353.6538,2670.67
-21,359.9016,2745.858
-22,365.0954,2816.306
-23,371.8014,2877.868
-24,382.9136,2956.596
-25,392.7578,3034.744
-26,403.7112,3124.218
-27,420.6572,3233.444
-28,433.7662,3417.004
-29,450.9012,3585.94
-30,474.01,3812.63
-40,516.9496,4108.476
