Depth[m],Vs[m/sec],Vp[m/sec]
-0,178.36146,547.8292
-1,178.36146,547.8292
-2,211.41026,615.3878
-3,234.4806,703.9418
-4,251.0246,787.8502
-5,275.589,850.6908
-6,302.0306,902.5886
-7,328.3724,951.5732
-8,348.0014,993.089
-9,371.677,1045.3346
-10,391.1232,1093.3366
-11,415.4892,1153.256
-12,433.4908,1215.033
-13,453.6384,1275.5816
-14,480.5886,1353.5364
-15,510.5648,1432.5856
-16,542.077,1511.069
-17,577.9434,1560.6416
-18,619.359,1621.6654
-19,675.299,1726.9966
-20,726.382,1840.6112
-21,769.5106,1934.2
-22,810.887,2053.365
-23,863.586,2172.325
-24,902.926,2260.9706
-25,944.384,2401.389
-26,997.3502,2556.73
-27,1039.6432,2721.566
-28,1102.69,2900.57
-29,1173.2452,3149.808
-30,1264.3576,3505.542
-40,1420.4366,3866.18
