Depth[m],Vs[m/sec],Vp[m/sec]
-0,170.463,319.83
-1,170.463,319.83
-2,175.161,371.28
-3,177.958,389.82
-4,207.75,421.22
-5,216.44,522.6
-6,219.41,552.85
-7,222.01,590.84
-8,224.28,662.28
-9,226.71,716.23
-10,229.88,752.26
-11,233.22,785.76
-12,237.73,843.34
-13,241.92,971.95
-14,245.93,1014.45
-15,249.69,1052.37
-16,253.37,1087.15
-17,256.33,1121.96
-18,259.45,1155.67
-19,262.83,1185.51
-20,266.05,1218.82
-21,269.88,1255.83
-22,274.64,1292.55
-23,280.06,1329.02
-24,286.1,1377.28
-25,292.48,1443.52
-26,300.52,1528.29
-27,308.43,1595.22
-28,322.4,1656.3
-29,340.78,1731.23
-30,356.97,1786.03
-35,372.86,1843.36
-40,383.72,1934.07
-45,390.86,2078.52
-50,398.47,2236.68
-55,406.81,2322.85
-60,414.92,2450.6
-65,426.04,3498
-70,442.88,3725.4
-75,468.87,3896.7
-85,525.61,4094.2
