Depth[m],Vs[m/sec],Vp[m/sec]
-0,172.377,387.25
-1,172.377,387.25
-2,228.6,533.15
-3,266.1,595.18
-4,278.21,637.56
-5,347.27,682.48
-6,357.79,726.16
-7,366.44,802.97
-8,379.1,1026.97
-9,401.01,1087.75
-10,423.24,1142.94
-11,441.4,1233.02
-12,456.99,1379.06
-13,466.03,1539.97
-14,471.63,1602.53
-15,476.27,1644.75
-16,480.32,1683.94
-17,484.48,1726.94
-18,488.18,1772.4
-19,491.23,1819.38
-20,494.58,1881.11
-21,497.43,1948.24
-22,501.04,2015.12
-23,504.4,2068.36
-24,507.97,2132.34
-25,512.27,2201.4
-26,516.48,2257.56
-27,522.12,2333.18
-28,527.86,2437.56
-29,536.06,2588.61
-30,546.67,2824
-40,561.62,3284.5
