Depth[m],Vs[m/sec],Vp[m/sec]
-0,196.926,428.76
-1,196.926,428.76
-2,216.18,458.26
-3,255.8,487.36
-4,274.49,518.77
-5,281.5,552.43
-6,288.1,590.57
-7,296.53,663.12
-8,309.59,849.25
-9,338.83,898.01
-10,354.56,941.83
-11,360.43,971.6
-12,364.28,1011.45
-13,367.07,1070.87
-14,369.09,1149.83
-15,370.53,1243.27
-16,372.06,1323.46
-17,373.43,1458.9
-18,374.99,1651.07
-19,376.01,1855.27
-20,377.45,2174.98
-21,379.15,2263.7
-22,380.36,2365.11
-23,381.71,2435.3
-24,383.81,2508.84
-25,385.6,2570.29
-26,387.83,2642.51
-27,391.63,2713.1
-28,395.17,2777.48
-29,400.67,2848.15
-30,406.69,2952.49
-35,418.97,3096.96
-45,514.41,3292.25
