Depth[m],Vs[m/sec],Vp[m/sec]
-0,158.67608,471.6214
-1,158.67608,471.6214
-2,186.95352,698.9712
-3,272.0054,769.8352
-4,302.7488,876.7972
-5,334.719,989.6756
-6,378.1992,1108.007
-7,423.8906,1197.482
-8,455.5402,1267.206
-9,479.4692,1333.2836
-10,500.3386,1396.1122
-11,516.9454,1460.0742
-12,529.7418,1534.3696
-13,543.3124,1615.3592
-14,552.4568,1693.9122
-15,565.3748,1773.607
-16,577.4056,1865.8652
-17,586.0192,1965.5212
-18,595.233,2073.2636
-19,606.8264,2155.1956
-20,618.414,2216.8042
-21,628.1824,2304.042
-22,637.9316,2396.048
-23,649.9194,2490.61
-24,665.2688,2583.408
-25,679.2322,2690.07
-26,693.7748,2797.4
-27,712.2074,2936.348
-28,728.4272,3048.322
-29,747.8054,3170.174
-30,772.0466,3298.762
-35,802.5002,3461.08
-40,859.1884,3664.786
-50,958.1018,4062.628
