Depth[m],Vs[m/sec],Vp[m/sec]
-0,179.13698,537.4574
-1,179.13698,537.4574
-2,333.089,657.5692
-3,383.2192,743.9598
-4,410.6168,814.8952
-5,436.8498,896.755
-6,490.0862,989.225
-7,556.7724,1080.8314
-8,627.7542,1150.4126
-9,687.956,1229.7432
-10,732.1038,1307.5854
-11,774.1682,1368.2724
-12,809.1082,1449.2016
-13,837.765599999999,1513.6602
-14,859.1966,1600.2118
-15,885.7944,1690.905
-16,908.1206,1769.3904
-17,928.4234,1854.3742
-18,950.551599999999,1928.4344
-19,977.3982,2050.1642
-20,1002.6744,2167.2982
-21,1026.8864,2288.9592
-22,1052.0518,2374.184
-23,1081.1824,2481.974
-24,1121.5034,2574.184
-25,1159.9784,2670.004
-26,1209.3626,2791.506
-27,1246.7072,2901.69
-28,1290.0738,3008.148
-29,1335.3528,3137.442
-30,1394.3044,3275.028
-35,1473.107,3463.116
-40,1578.164,3656.366
-45,1714.6172,3884.34
-50,1868.2738,4090.182
-55,2169.1226,4404.686
-65,2442.786,4992.348
