Depth[m],Vs[m/sec],Vp[m/sec]
-0,124.367,529.33
-1,124.367,529.33
-2,249.91,558.53
-3,254.34,594.38
-4,318.56,631.67
-5,344.6,664.91
-6,352.88,727.69
-7,360.03,1007.55
-8,365.87,1112.78
-9,371.89,1170.77
-10,378.44,1215.17
-11,385.66,1275.88
-12,392.6,1387.29
-13,398.51,1479.68
-14,405.05,1543.13
-15,411.7,1606.74
-16,418.19,1664.5
-17,422.35,1725.96
-18,427.06,1810.97
-19,430.73,1891.84
-20,434.78,1990.18
-21,438.3,2080.34
-22,442.01,2148.39
-23,445.37,2218.02
-24,448.85,2275.79
-25,452.32,2340.93
-26,455.34,2398.92
-27,458.68,2461.45
-28,462.17,2525.26
-29,466.26,2601.43
-30,471.11,2691.19
-35,479.36,2781.65
-45,490.03,2900.56
