Depth[m],Vs[m/sec],Vp[m/sec]
-0,197.025,362.18
-1,197.025,362.18
-2,198.74,391.75
-3,243,465.03
-4,278.87,517.06
-5,288.16,548.6
-6,299.69,582.01
-7,312.18,606.88
-8,322.23,629.11
-9,329.58,647.44
-10,334.15,666.08
-11,338.01,685.84
-12,341.79,709.25
-13,344.31,732.84
-14,347.57,760.69
-15,351.32,799.67
-16,354.89,840.24
-17,358.21,898.77
-18,364.46,960.07
-19,371.28,1018.47
-20,384.5,1054.06
-21,406.82,1082.93
-22,425.01,1127.96
-23,436.2,1168.62
-24,447.29,1214.65
-25,456.82,1251.69
-26,466,1292.26
-27,470.69,1342.76
-28,474.13,1380.77
-29,477.19,1428.72
-30,480.14,1479.42
-35,481.82,1567.26
-40,483.64,1635.61
-45,484.97,1708.77
-50,486.24,1793.4
-55,487.72,2126.6
-60,489.18,2209.4
-65,491.42,2291.11
-70,494.05,2378.19
-80,498.35,2545.87
