Depth[m],Vs[m/sec],Vp[m/sec]
-0,305.3542,705.019
-1,305.3542,705.019
-2,449.5358,893.8894
-3,536.0724,1027.6308
-4,571.3846,1090.0076
-5,604.4086,1148.5682
-6,649.7348,1187.8422
-7,682.9666,1228.6484
-8,709.1534,1263.7154
-9,719.9966,1297.8698
-10,726.672,1326.6958
-11,736.202,1352.9892
-12,743.8084,1402.7348
-13,750.774,1449.554
-14,756.92,1490.9958
-15,762.524,1553.5936
-16,767.8176,1622.6676
-17,772.8592,1719.3848
-18,777.087,1863.8526
-19,781.3384,2011.993
-20,785.9302,2283.3382
-21,792.109,2535.744
-22,799.1766,2758.048
-23,805.446,2976.254
-24,811.9448,3183.976
-25,820.278,3393.794
-26,827.2438,3647.85
-27,837.9264,3812.672
-28,849.6926,3983.478
-29,866.536,4175.698
-30,882.3396,4442.578
-40,915.6984,5043.062
