Depth[m],Vs[m/sec],Vp[m/sec]
-0,169.96796,328.44
-1,169.96796,328.44
-2,276.024,487.1712
-3,361.4504,636.3
-4,451.1556,844.8992
-5,526.3348,1048.3848
-6,569.8878,1276.9076
-7,601.6886,1512.1916
-8,647.19,1686.048
-9,688.7268,1840.9094
-10,743.6864,2007.9804
-11,810.7134,2156.6506
-12,896.1946,2269.5158
-13,980.53,2391.456
-14,1056.2956,2479.78
-15,1126.7746,2585.844
-16,1190.4012,2714.826
-17,1262.1908,2829.704
-18,1337.5814,2946.594
-19,1422.1186,3039.444
-20,1494.7716,3160.464
-21,1555.9738,3287.866
-22,1622.0784,3450.784
-23,1682.691,3601.358
-24,1762.7348,3789.932
-25,1841.8022,3962.33
-26,1920.4526,4186.384
-27,1994.6628,4376.99
-28,2104.425,4598.418
-29,2224.1978,4789.776
-30,2376.384,5067.054
-40,2650.512,5702.728
