Depth[m],Vs[m/sec],Vp[m/sec]
-0,116.3991,263.9242
-1,116.3991,263.9242
-2,146.43832,375.355
-3,177.70598,599.3572
-4,193.72774,683.336
-5,212.11762,768.8158
-6,230.2599,975.3172
-7,257.3798,1060.1742
-8,277.932,1149.4096
-9,298.9246,1217.9508
-10,312.9864,1282.6656
-11,324.868,1371.8986
-12,335.1304,1435.8736
-13,342.4622,1507.7726
-14,350.9078,1573.7246
-15,358.537,1656.8056
-16,367.963,1740.8698
-17,376.0684,1814.0164
-18,387.107,1883.6326
-19,395.1846,1945.1662
-20,405.2124,2005.8628
-21,417.0304,2059.9542
-22,426.42,2123.97
-23,439.7956,2205.062
-24,454.8766,2280.048
-25,471.375,2357.334
-26,491.0992,2441.8
-27,511.0272,2553.464
-28,537.1908,2669.068
-29,560.9494,2792.954
-30,592.1868,2962.542
-40,640.0298,3234.59
