Depth[m],Vs[m/sec],Vp[m/sec]
-0,173.14866,312.2712
-1,173.14866,312.2712
-2,184.1963,336.325
-3,199.31058,359.5792
-4,207.33554,392.637
-5,212.55464,433.5354
-6,218.1402,673.853
-7,222.7498,779.8902
-8,227.8338,831.6994
-9,232.8474,883.1438
-10,239.1872,940.0244
-11,246.5034,997.9032
-12,254.759,1078.7348
-13,263.2584,1184.6558
-14,273.4814,1275.0704
-15,283.4356,1345.7828
-16,292.3934,1439.3256
-17,302.7518,1523.7914
-18,310.5492,1637.7342
-19,320.9866,1771.541
-20,330.275,1910.5566
-21,336.8532,2051.4836
-22,342.3282,2245.178
-23,350.041,2349.444
-24,360.0636,2453.09
-25,366.7672,2547.872
-26,373.6902,2623.74
-27,382.2192,2692.45
-28,390.3278,2768.516
-29,397.5014,2829.232
-30,407.254,2897.062
-35,418.2996,2978.79
-40,428.9632,3104.692
-45,443.608,3251.844
-50,461.2694,3457.674
-55,489.5688,3708.01
-65,549.762,4056.308
