Depth[m],Vs[m/sec],Vp[m/sec]
-0,189.357,383.99
-1,189.357,383.99
-2,256.47,486.85
-3,278.51,520.26
-4,291.78,564.39
-5,302.62,613.48
-6,310.87,664.17
-7,319.58,878.45
-8,329.22,939.7
-9,348.08,1034.41
-10,376.59,1128.87
-11,388.73,1184.07
-12,394.84,1282.05
-13,398.72,1347.61
-14,401.76,1410.52
-15,404.56,1467.76
-16,406.47,1531.82
-17,408.29,1579.85
-18,409.91,1665.4
-19,411.7,1730.94
-20,413.36,1783.72
-21,414.96,1845.12
-22,416.66,1919.41
-23,418.75,2000.61
-24,420.64,2090.92
-25,423.64,2170.13
-26,426.89,2237.61
-27,430.45,2333.9
-28,436.09,2439.94
-29,443.02,2577.53
-30,453.51,2699.64
-40,470.54,2881.1
