Depth[m],Vs[m/sec],Vp[m/sec]
-0,234.3218,405.6084
-1,234.3218,405.6084
-2,362.9358,864.8074
-3,576.1636,1508.6194
-4,727.9576,1651.7484
-5,810.561,1970.3846
-6,981.7694,2061.9718
-7,1013.0052,2149.1412
-8,1042.7024,2252.314
-9,1078.9886,2585.328
-10,1114.6596,2708.138
-11,1170.8078,2800.066
-12,1228.0592,2887.452
-13,1302.2816,2995.972
-14,1379.8844,3081.206
-15,1469.485,3161.202
-16,1548.4706,3244.486
-17,1629.3246,3316.038
-18,1691.5828,3382.906
-19,1762.8038,3438.204
-20,1835.0874,3492.124
-21,1936.7254,3567.48
-22,2009.156,3644.254
-23,2064.5558,3749.604
-24,2112.4784,3845.454
-25,2167.094,3970.14
-26,2213.768,4134.112
-27,2275.866,4283.806
-28,2354.922,4409.396
-29,2442.946,4527.284
-30,2553.862,4692.692
-35,2692.068,4896.042
-40,2882.532,5200.772
-50,3197.466,5692.106
