Depth[m],Vs[m/sec],Vp[m/sec]
-0,321.6846,712.3204
-1,321.6846,712.3204
-2,390.5718,834.3186
-3,420.065,896.4536
-4,431.6722,946.7036
-5,439.3534,997.3656
-6,447.6812,1049.4458
-7,453.6044,1120.3926
-8,457.2544,1182.1276
-9,463.704,1326.743
-10,466.5346,1416.332
-11,471.4328,1505.7444
-12,475.4672,1565.2928
-13,479.2732,1635.078
-14,483.8428,1696.5176
-15,487.6478,1754.2078
-16,490.559,1820.8704
-17,494.3486,1882.3614
-18,499.959,1942.6848
-19,506.9716,1987.8724
-20,512.4648,2046.7612
-21,518.5732,2097.3546
-22,525.8402,2166.3494
-23,534.0154,2225.854
-24,541.6194,2282.104
-25,547.431,2353.46
-26,553.8638,2430.384
-27,564.1618,2503.662
-28,574.5052,2575.402
-29,584.1804,2645.766
-30,597.416,2725.226
-35,613.2352,2825.754
-40,632.4938,2941.814
-45,664.9466,3091.344
-55,716.614,3409.806
