Depth[m],Vs[m/sec],Vp[m/sec]
-0,208.32944,393.7102
-1,208.32944,393.7102
-2,240.53,451.648
-3,276.7736,508.8812
-4,299.879,556.317
-5,313.9868,607.6344
-6,328.0912,645.9906
-7,340.1324,693.4434
-8,351.3056,758.16
-9,362.0584,828.93
-10,372.8428,913.8352
-11,388.5264,1099.3572
-12,399.2152,1256.9346
-13,412.5014,1361.8766
-14,428.3848,1486.0716
-15,445.2474,1683.7102
-16,463.4424,1899.6578
-17,485.7928,2110.011
-18,505.0412,2827.556
-19,526.8222,3002.498
-20,549.773,3102.356
-21,571.0522,3164.024
-22,590.7256,3238.832
-23,612.3762,3298.206
-24,638.1406,3359.984
-25,667.554,3418.2
-26,694.0274,3509.692
-27,727.3452,3610.922
-28,764.2488,3717.438
-29,808.2404,3848.428
-30,866.9818,4035.036
-40,951.3986,4987.238
