Depth[m],Vs[m/sec],Vp[m/sec]
-0,183.12002,348.3196
-1,183.12002,348.3196
-2,208.67064,387.0844
-3,217.673,438.8022
-4,223.3704,529.1372
-5,228.3856,610.0014
-6,234.7838,665.3618
-7,241.0594,725.9774
-8,245.956,795.3798
-9,252.935,867.2124
-10,259.273,937.9136
-11,267.3602,1008.1848
-12,274.9064,1109.836
-13,283.535,1252.9902
-14,291.804,1603.5114
-15,300.95,2133.38
-16,311.5108,2293.918
-17,322.3754,2376.536
-18,330.0454,2465.694
-19,338.5918,2554.308
-20,350.1052,2663.168
-21,360.2296,2774.902
-22,370.2282,2879.952
-23,381.0074,2972.118
-24,388.0324,3054.592
-25,401.6094,3140.564
-26,413.0434,3238.116
-27,423.4098,3352.804
-28,436.2026,3503.986
-29,449.3778,3711.84
-30,466.8618,3967.844
-35,490.29,5872.32
-45,530.8318,6462.964
