Depth[m],Vs[m/sec],Vp[m/sec]
-0,180.066,944.89
-1,180.066,944.89
-2,584.8,1180.78
-3,601.2,1181.27
-4,1046.54,2287.59
-5,1048.56,2289.87
-6,1051.28,2293.85
-7,1056.38,2296.8
-8,1064.51,2298.64
-9,1067.45,2300.54
-10,1069.76,2302.73
-11,1070.45,2308.09
-12,1071.15,2311.14
-13,1072.21,2314.04
-14,1073.23,2316.51
-15,1074.23,2318.73
-16,1075.45,2322.43
-17,1076.84,2327.19
-18,1077.83,2331.45
-19,1079.22,2336.66
-20,1083.55,2348.28
-21,1094.92,2361.47
-22,1187.44,2373.57
-23,1197.48,2436.5
-24,1210.88,2461
-25,1257.38,2493.7
-26,1266.4,2625
-27,1277.26,2655.3
-28,1304.67,2915.3
-29,1327.65,2964.7
-30,1345.48,3000.1
-35,1350.35,3062.5
-40,1353.82,3175.5
-45,1360.29,3407.9
-50,1368.55,3838.7
-60,1514.74,5959.6
