Depth[m],Vs[m/sec],Vp[m/sec]
-0,116.721,728.79
-1,116.721,728.79
-2,210.47,739.97
-3,210.69,755.82
-4,229.19,773.16
-5,308.62,797.56
-6,310.75,823.85
-7,312.47,903.08
-8,314.13,958.63
-9,316.2,1148.65
-10,318.52,1179.31
-11,322.22,1237.11
-12,326.47,1277.17
-13,334.75,1332.53
-14,351.57,1453.15
-15,368.61,1567.99
-16,382.83,1628.21
-17,393.37,1741.69
-18,400.98,1837.83
-19,406.85,1890.96
-20,414.03,1953.53
-21,418.79,2002.99
-22,426.25,2054.55
-23,431.22,2103.97
-24,439.07,2155.33
-25,446.79,2209.3
-26,452.4,2361.8
-27,458.41,2501.68
-28,469.14,2630.9
-29,477.96,2756.1
-30,489.97,2988.07
-35,506.57,3110.29
-45,561.11,3576.1
