Depth[m],Vs[m/sec],Vp[m/sec]
-0,118.05944,238.52732
-1,118.05944,238.52732
-2,161.23854,290.839
-3,180.43904,340.8934
-4,198.46274,410.7394
-5,224.14174,583.2284
-6,245.0082,690.9174
-7,269.6392,774.6916
-8,295.2956,847.7982
-9,313.5378,922.0774
-10,333.5138,1006.7268
-11,351.0844,1121.5684
-12,368.908,1267.725
-13,384.7954,1415.8758
-14,398.3536,1517.751
-15,414.554,1665.2838
-16,431.1006,1769.2206
-17,444.3474,1877.2424
-18,460.5494,1970.7632
-19,477.2866,2080.5732
-20,493.0428,2237.0804
-21,513.3514,2491.29
-22,534.3478,2794.132
-23,556.2214,2984.54
-24,582.0528,3132.264
-25,607.707,3258.346
-26,638.303800000001,3389.632
-27,670.2548,3538.96
-28,696.0002,3728.61
-29,728.4768,3872.67
-30,767.6556,4066.35
-35,835.6608,4303.646
-45,957.3956,4627.228
