Depth[m],Vs[m/sec],Vp[m/sec]
-0,123.849,444.44
-1,123.849,444.44
-2,199.873,663.35
-3,202.54,702.66
-4,219.07,757.07
-5,222.21,1147.47
-6,223.13,1181.51
-7,223.58,1209.83
-8,223.9,1230.02
-9,224.09,1254.6
-10,224.25,1280.69
-11,224.53,1310.95
-12,224.71,1331.99
-13,224.88,1357.68
-14,225.05,1381.73
-15,225.25,1407.63
-16,225.52,1437.81
-17,225.86,1478.08
-18,226.17,1519.16
-19,226.53,1553.71
-20,226.95,1625.45
-21,227.39,1970.78
-22,227.87,2220.64
-23,228.51,2319.85
-24,229.3,2652.88
-25,230.53,2925.23
-26,232.34,3019.2
-27,234.37,3101.87
-28,238.39,3194.02
-29,244.49,3296.6
-30,259.94,3403.2
-40,304.41,3776.8
