Depth[m],Vs[m/sec],Vp[m/sec]
-0,204.68214,334.3206
-1,204.68214,334.3206
-2,270.5426,443.0424
-3,461.533,1364.3008
-4,477.1744,1670.9762
-5,506.3606,1780.4332
-6,644.4908,1862.2664
-7,750.4994,1913.0206
-8,825.7488,1965.8298
-9,972.6478,2023.8678
-10,1053.324,2071.8624
-11,1097.003,2112.8276
-12,1152.0964,2169.0456
-13,1196.8168,2221.406
-14,1242.1512,2273.124
-15,1283.5352,2313.938
-16,1318.0404,2351.996
-17,1344.984,2392.794
-18,1367.8418,2439.242
-19,1395.9798,2488.01
-20,1416.8166,2558.576
-21,1438.1236,2623.962
-22,1467.9562,2705.954
-23,1491.7902,2786.29
-24,1514.2154,2855.662
-25,1534.6592,2978.544
-26,1555.2714,3113.586
-27,1578.8166,3278.106
-28,1604.0266,3400.086
-29,1621.3324,3523.914
-30,1642.9018,3711.642
-35,1676.3918,4017.576
-40,1710.0562,4920.762
-50,1767.7706,6902.502
