Depth[m],Vs[m/sec],Vp[m/sec]
-0,184.88006,728.891
-1,184.88006,728.891
-2,372.876,1091.164
-3,501.7914,1163.3378
-4,564.6664,1197.6916
-5,706.4656,1229.318
-6,727.393,1254.546
-7,737.8492,1274.2156
-8,743.5788,1306.6794
-9,747.6634,1340.5214
-10,752.8022,1382.3686
-11,758.2498,1432.3942
-12,761.6928,1477.5506
-13,765.0814,1542.6368
-14,769.9702,1628.2088
-15,773.2708,1708.84
-16,778.083,1829.417
-17,780.5422,1972.1504
-18,784.196,2163.6132
-19,789.5912,2306.752
-20,794.215,2426.351
-21,798.7454,2538.708
-22,803.4292,2641.99
-23,809.099,2773.272
-24,813.7126,2881.158
-25,819.0514,2988.936
-26,824.1542,3109.734
-27,830.1856,3226.05
-28,835.8432,3351.65
-29,844.6536,3466.414
-30,855.5308,3606.938
-35,865.6848,3788.11
-40,887.322,4071.694
-50,927.4688,4442.334
