Depth[m],Vs[m/sec],Vp[m/sec]
-0,169.92812,774.2182
-1,169.92812,774.2182
-2,222.4392,931.8644
-3,269.3744,1030.494
-4,306.621,1177.3396
-5,330.9096,1344.7056
-6,349.7896,1430.8918
-7,374.5546,1568.0404
-8,411.6438,1668.8594
-9,466.3112,1752.1702
-10,504.8076,1845.0876
-11,527.9308,1964.232
-12,553.8914,2074.7876
-13,572.7836,2173.5728
-14,589.1992,2269.916
-15,602.2842,2340.522
-16,618.1878,2438.936
-17,630.8108,2542.864
-18,643.1706,2651.698
-19,654.2532,2766.174
-20,664.8514,2866.932
-21,676.1958,2976.676
-22,688.3358,3079.194
-23,702.2984,3180.302
-24,714.349,3299.672
-25,728.4872,3393.228
-26,745.4958,3491.76
-27,762.8512,3592.946
-28,781.0222,3791.932
-29,807.3576,4010.874
-30,832.0394,4298.114
-35,861.068,4633.558
-45,920.5002,5076.394
