Depth[m],Vs[m/sec],Vp[m/sec]
-0,185.396,357.454
-1,185.396,357.454
-2,246.7312,491.1632
-3,265.612,616.0466
-4,292.1018,727.4324
-5,332.9074,818.8756
-6,372.9716,953.8084
-7,414.5546,1123.5676
-8,451.1544,1247.299
-9,483.6134,1362.0656
-10,508.7906,1469.3804
-11,528.0514,1634.0636
-12,545.1196,1801.3906
-13,555.6798,1902.847
-14,568.1478,1990.1378
-15,580.5816,2074.093
-16,590.4716,2160.2346
-17,597.5984,2255.812
-18,603.8818,2357.146
-19,610.0012,2478.16
-20,616.4206,2559.178
-21,623.9694,2670.29
-22,629.6356,2778.304
-23,636.889,2898.426
-24,644.8154,3053.594
-25,651.4974,3158.136
-26,661.0346,3264.286
-27,669.2156,3377.978
-28,676.0588,3481.242
-29,685.1478,3603.172
-30,698.693,3754.582
-35,709.9194,3925.26
-40,724.6062,4183.622
-50,756.913,4446.83
