Depth[m],Vs[m/sec],Vp[m/sec]
-0,228.4206,411.1502
-1,228.4206,411.1502
-2,252.581,449.2272
-3,266.434,481.212
-4,279.0596,527.3244
-5,295.079,573.4362
-6,316.751,625.427
-7,354.6986,693.226799999999
-8,396.482,748.9158
-9,426.085,799.8934
-10,449.0068,855.5662
-11,465.7776,917.7546
-12,476.8248,993.8806
-13,486.7642,1079.2304
-14,494.7626,1140.2496
-15,504.9936,1220.836
-16,511.2984,1331.596
-17,518.6986,1467.1898
-18,527.0282,1673.7326
-19,536.1498,1904.7028
-20,543.707,2430.118
-21,549.9744,2661.742
-22,560.3582,2906.26
-23,568.8672,3156.358
-24,577.4348,3303.58
-25,586.6138,3469.202
-26,596.4324,3675.856
-27,608.2674,4013.222
-28,624.8394,4237.758
-29,640.979,4425.508
-30,666.4478,4592.796
-40,707.6324,4940.236
